date,region,channel,revenue_usd,traffic,conversion_rate,avg_price_usd
2026-02-01,US,Direct,234240.00,11964,0.1977,100.00
2026-02-02,US,Direct,237600.00,12120,0.1992,100.70
2026-02-03,US,Direct,240960.00,12036,0.2007,101.40
2026-02-04,US,Direct,244320.00,12192,0.2022,98.60
2026-02-05,US,Direct,242880.00,12348,0.1962,99.30
2026-02-06,US,Direct,246240.00,11928,0.1977,100.00
2026-02-07,US,Direct,232800.00,11844,0.1992,100.70
2026-02-08,US,Direct,236160.00,12000,0.2007,101.40
2026-02-09,US,Direct,239520.00,12156,0.2022,98.60
2026-02-10,US,Direct,238080.00,12312,0.1962,99.30
2026-02-11,US,Direct,241440.00,12228,0.1977,100.00
2026-02-12,US,Direct,244800.00,11808,0.1992,100.70
2026-02-13,EU,Partner,179550.00,8768,0.2015,98.60
2026-02-14,EU,Partner,170450.00,8706,0.2030,99.30
2026-02-15,EU,Partner,170100.00,8820,0.1970,100.00
2026-02-16,EU,Partner,173250.00,8934,0.1985,100.70
2026-02-17,EU,Partner,176400.00,9048,0.2000,101.40
2026-02-18,EU,Partner,176050.00,8566,0.2015,98.60
2026-02-19,EU,Partner,179200.00,8680,0.2030,99.30
2026-02-20,EU,Partner,178850.00,8794,0.1970,100.00
2026-02-21,EU,Partner,169750.00,8908,0.1985,100.70
2026-02-22,EU,Partner,172900.00,8846,0.2000,101.40
2026-02-23,APAC,Marketplace,154690.00,7975,0.2023,99.30
2026-02-24,APAC,Marketplace,155000.00,7704,0.2038,100.00
2026-02-25,APAC,Marketplace,155310.00,7649,0.1978,100.70
2026-02-26,APAC,Marketplace,158720.00,7750,0.1993,101.40
2026-02-27,APAC,Marketplace,159030.00,7851,0.2008,98.60
2026-02-28,APAC,Marketplace,151590.00,7952,0.2023,99.30
2026-03-01,US,Direct,192896.64,10588,0.1857,99.00
2026-03-02,US,Direct,195663.60,10726,0.1872,99.70
2026-03-03,US,Direct,198430.56,10652,0.1887,100.40
2026-03-04,US,Direct,201197.52,10790,0.1902,97.60
2026-03-05,US,Direct,200011.68,10928,0.1842,98.30
2026-03-06,US,Direct,202778.64,10556,0.1857,99.00
2026-03-07,US,Direct,191710.80,10482,0.1872,99.70
2026-03-08,US,Direct,194477.76,10620,0.1887,100.40
2026-03-09,US,Direct,197244.72,10758,0.1902,97.60
2026-03-10,EU,Partner,164920.00,9036,0.1930,95.00
2026-03-11,EU,Partner,167912.50,9153,0.1945,95.70
2026-03-12,EU,Partner,170905.00,8840,0.1960,96.40
2026-03-13,EU,Partner,170572.50,8956,0.1975,93.60
2026-03-14,EU,Partner,161927.50,8893,0.1990,94.30
2026-03-15,EU,Partner,161595.00,9010,0.1930,95.00
2026-03-16,EU,Partner,164587.50,9126,0.1945,95.70
2026-03-17,EU,Partner,167580.00,9242,0.1960,96.40
2026-03-18,EU,Partner,167247.50,8750,0.1975,93.60
2026-03-19,EU,Partner,170240.00,8866,0.1990,94.30
2026-03-20,APAC,Marketplace,148746.99,7905,0.1918,96.70
2026-03-21,APAC,Marketplace,141760.83,7850,0.1933,97.40
2026-03-22,APAC,Marketplace,142051.92,7952,0.1948,94.60
2026-03-23,APAC,Marketplace,145253.91,8054,0.1963,95.30
2026-03-24,APAC,Marketplace,145545.00,7780,0.1978,96.00
2026-03-25,APAC,Marketplace,145836.09,7725,0.1918,96.70
2026-03-26,APAC,Marketplace,149038.08,7827,0.1933,97.40
2026-03-27,APAC,Marketplace,149329.17,7929,0.1948,94.60
2026-03-28,APAC,Marketplace,142343.01,8031,0.1963,95.30
