date,region,channel,device_type,campaign,traffic,conversion_rate,orders,avg_price_usd,revenue_usd
2026-02-01,US,Direct,desktop,always_on,11720,0.1952,2288,98.80,226054.40
2026-02-02,US,Direct,desktop,always_on,11915,0.1966,2342,99.60,233263.20
2026-02-03,US,Direct,desktop,always_on,12110,0.1980,2398,100.40,240759.20
2026-02-04,US,Direct,desktop,always_on,12140,0.1994,2421,101.20,245005.20
2026-02-05,US,Direct,desktop,always_on,12335,0.2008,2477,98.80,244727.60
2026-02-06,US,Direct,desktop,always_on,12530,0.1952,2446,99.60,243621.60
2026-02-07,US,Direct,desktop,always_on,11720,0.1966,2304,100.40,231321.60
2026-02-08,US,Direct,desktop,always_on,11915,0.1980,2359,101.20,238730.80
2026-02-09,US,Direct,desktop,always_on,12110,0.1994,2415,98.80,238602.00
2026-02-10,US,Direct,desktop,always_on,12140,0.2008,2438,99.60,242824.80
2026-02-11,US,Direct,desktop,always_on,12335,0.1952,2408,100.40,241763.20
2026-02-12,US,Direct,desktop,always_on,12530,0.1966,2463,101.20,249255.60
2026-02-13,EU,Partner,desktop,partner_push,8520,0.1982,1689,97.80,165184.20
2026-02-14,EU,Partner,desktop,partner_push,8715,0.1996,1740,98.60,171564.00
2026-02-15,EU,Partner,desktop,partner_push,8910,0.2010,1791,99.40,178025.40
2026-02-16,EU,Partner,desktop,partner_push,8940,0.2024,1809,100.20,181261.80
2026-02-17,EU,Partner,desktop,partner_push,9135,0.2038,1862,97.80,182103.60
2026-02-18,EU,Partner,desktop,partner_push,9330,0.1982,1849,98.60,182311.40
2026-02-19,EU,Partner,desktop,partner_push,8520,0.1996,1701,99.40,169079.40
2026-02-20,EU,Partner,desktop,partner_push,8715,0.2010,1752,100.20,175550.40
2026-02-21,APAC,Marketplace,mobile,spring_launch,7320,0.1832,1341,94.80,127126.80
2026-02-22,APAC,Marketplace,mobile,spring_launch,7515,0.1846,1387,95.60,132597.20
2026-02-23,APAC,Marketplace,mobile,spring_launch,7710,0.1860,1434,96.40,138237.60
2026-02-24,APAC,Marketplace,mobile,spring_launch,7740,0.1874,1450,97.20,140940.00
2026-02-25,APAC,Marketplace,mobile,spring_launch,7935,0.1888,1498,94.80,142010.40
2026-02-26,APAC,Marketplace,mobile,spring_launch,8130,0.1832,1489,95.60,142348.40
2026-02-27,APAC,Marketplace,mobile,spring_launch,7320,0.1846,1351,96.40,130236.40
2026-02-28,APAC,Marketplace,mobile,spring_launch,7515,0.1860,1398,97.20,135885.60
2026-03-01,US,Direct,desktop,always_on,10156,0.1857,1886,96.60,182187.60
2026-03-02,US,Direct,desktop,always_on,10337,0.1871,1934,97.40,188371.60
2026-03-03,US,Direct,desktop,always_on,10518,0.1885,1983,98.20,194730.60
2026-03-04,US,Direct,desktop,always_on,10546,0.1899,2003,99.00,198297.00
2026-03-05,US,Direct,desktop,always_on,10728,0.1913,2052,96.60,198223.20
2026-03-06,US,Direct,desktop,always_on,10909,0.1857,2026,97.40,197332.40
2026-03-07,US,Direct,desktop,always_on,10156,0.1871,1900,98.20,186580.00
2026-03-08,US,Direct,desktop,always_on,10337,0.1885,1949,99.00,192951.00
2026-03-09,US,Direct,desktop,always_on,10518,0.1899,1997,96.60,192910.20
2026-03-10,US,Direct,desktop,always_on,10546,0.1913,2017,97.40,196455.80
2026-03-11,US,Direct,desktop,always_on,10728,0.1857,1992,98.20,195614.40
2026-03-12,US,Direct,desktop,always_on,10909,0.1871,2041,99.00,202059.00
2026-03-13,EU,Partner,desktop,partner_push,7492,0.1912,1432,95.40,136612.80
2026-03-14,EU,Partner,desktop,partner_push,7675,0.1926,1478,96.20,142183.60
2026-03-15,EU,Partner,desktop,partner_push,7858,0.1940,1524,97.00,147828.00
2026-03-16,EU,Partner,desktop,partner_push,7887,0.1954,1541,97.80,150709.80
2026-03-17,EU,Partner,desktop,partner_push,8070,0.1968,1588,95.40,151495.20
2026-03-18,EU,Partner,desktop,partner_push,8253,0.1912,1578,96.20,151803.60
2026-03-19,EU,Partner,desktop,partner_push,7492,0.1926,1443,97.00,139971.00
2026-03-20,EU,Partner,desktop,partner_push,7675,0.1940,1489,97.80,145624.20
2026-03-21,APAC,Marketplace,mobile,spring_launch,6574,0.1744,1147,92.90,116146.37
2026-03-22,APAC,Marketplace,mobile,spring_launch,6759,0.1758,1188,93.70,121334.00
2026-03-23,APAC,Marketplace,mobile,spring_launch,6944,0.1772,1230,94.50,126696.15
2026-03-24,APAC,Marketplace,mobile,spring_launch,6973,0.1786,1245,95.30,129326.87
2026-03-25,APAC,Marketplace,mobile,spring_launch,7158,0.1800,1288,92.90,130424.17
2026-03-26,APAC,Marketplace,mobile,spring_launch,7344,0.1744,1281,93.70,130832.37
2026-03-27,APAC,Marketplace,mobile,spring_launch,6574,0.1758,1156,94.50,119073.78
2026-03-28,APAC,Marketplace,mobile,spring_launch,6759,0.1772,1198,95.30,124444.65
