order_date,region,channel,product_line,plan_tier,revenue_usd,cost_usd,orders
2026-02-01,US,Direct,Core,0,62099.86,38714.81,21
2026-02-02,EU,Direct,AddOn,1,370301.32,251386.43,63
2026-02-03,APAC,Partner,Services,1,86732.24,60569.75,37
2026-02-04,APAC,Direct,AddOn,1,90468.88,56878.52,21
2026-02-05,US,Direct,Core,1,148282.82,97872.12,78
2026-02-06,US,Direct,Core,0,181036.55,115729.96,30
2026-02-07,LATAM,Direct,Premium,0,37067.61,24016.34,24
2026-02-08,APAC,Direct,Premium,0,256163.35,159560.72,49
2026-02-09,US,Direct,Services,1,153417.95,102372.29,37
2026-02-10,APAC,Direct,AddOn,1,37599.7,28322.39,17
2026-02-11,EU,Partner,Premium,1,46992.7,28191.53,22
2026-02-12,LATAM,Direct,AddOn,1,308875.82,227162.94,50
2026-02-13,APAC,Direct,Services,0,85645.23,44793.32,19
2026-02-14,APAC,Direct,Premium,0,231362.5,171137.9,61
2026-02-15,EU,Direct,Core,1,376924.74,219429.24,61
2026-02-16,APAC,Direct,Services,0,137767.23,101741.64,50
2026-02-17,EU,Direct,Core,1,137432.78,87091.08,20
2026-02-18,LATAM,Direct,Core,1,320630.16,212890.7,51
2026-02-19,LATAM,Direct,Services,1,94506.1,66449.64,30
2026-02-20,EU,Marketplace,Premium,1,202330.21,116009.54,58
2026-02-21,US,Direct,Core,1,195140.46,115223.7,31
2026-02-22,US,Partner,Services,1,295415.06,153904.43,54
2026-02-23,EU,Direct,Premium,1,141636.49,104465.95,31
2026-02-24,LATAM,Direct,Services,1,406641.28,295759.38,77
2026-02-25,APAC,Partner,Core,1,147189.31,79541.74,23
2026-02-26,US,Direct,Core,1,122332.73,66919.69,47
2026-02-27,APAC,Direct,Services,0,114218.29,63423.04,52
2026-02-28,US,Marketplace,Services,1,116192.09,66933.05,32
2026-03-01,EU,Partner,Premium,0,351545.48,242207.77,71
2026-03-02,LATAM,Partner,AddOn,1,315770.55,173994.05,68
2026-03-03,APAC,Direct,Premium,0,242360.57,126813.14,78
2026-03-04,US,Direct,Core,1,97444.69,59679.54,60
2026-03-05,US,Partner,Core,1,177881.83,101550.77,63
2026-03-06,EU,Direct,Premium,0,217302.83,123185.24,35
2026-03-07,US,Marketplace,Premium,1,141442.49,105059.19,24
2026-03-08,US,Direct,Services,1,111421.23,81472.98,31
2026-03-09,US,Partner,AddOn,0,110993.98,81974.11,16
2026-03-10,US,Direct,Services,0,450702.05,235890.75,76
2026-03-11,US,Partner,Core,1,196553.55,141107.94,40
2026-03-12,EU,Marketplace,Services,0,192171.47,119288.77,31
2026-03-13,US,Direct,Premium,0,66690.8,34882.5,30
2026-03-14,US,Partner,Core,1,31346.72,17687.94,19
2026-03-15,EU,Partner,Premium,1,52293.7,31014.45,14
2026-03-16,US,Direct,Premium,1,275148.28,174212.07,46
2026-03-17,APAC,Partner,Core,1,43446.56,30191.35,16
2026-03-18,US,Partner,Premium,1,85714.98,47621.01,13
2026-03-19,LATAM,Partner,Core,1,164817.71,104868.53,33
2026-03-20,US,Partner,Premium,1,124548.86,84546.45,67
2026-03-21,US,Direct,AddOn,0,176952.36,127066.19,74
2026-03-22,EU,Partner,Core,1,71507.38,51435.34,32
2026-02-01,US,Partner,Core,1,524355.85,393085.09,74
2026-02-02,US,Direct,Core,1,279066.73,150576.1,60
2026-02-03,US,Partner,Premium,0,94230.39,60111.88,13
2026-02-04,US,Marketplace,Premium,0,61439.52,40745.76,42
2026-02-05,US,Direct,Core,1,229874.11,131830.67,49
2026-02-06,US,Marketplace,Premium,0,131518.1,81868.59,20
2026-02-07,US,Direct,Premium,1,29137.0,16535.38,19
2026-02-08,US,Partner,Services,0,40911.44,28536.62,10
2026-02-09,US,Partner,Services,1,357255.68,273001.64,58
2026-02-10,US,Partner,Services,0,73776.52,39025.73,41
2026-02-11,US,Partner,Core,0,111454.33,77972.57,41
2026-02-12,EU,Partner,Core,1,149344.67,89042.37,25
2026-02-13,APAC,Marketplace,Services,1,232552.49,135694.11,51
2026-02-14,EU,Marketplace,Services,1,372353.12,200472.22,60
2026-02-15,LATAM,Direct,Premium,1,114369.06,60940.37,20
2026-02-16,US,Direct,Premium,1,18257.6,13434.35,12
2026-02-17,US,Partner,AddOn,0,425633.35,322317.86,65
2026-02-18,US,Direct,Services,0,184803.64,101321.28,32
2026-02-19,APAC,Partner,Premium,0,320377.9,192883.52,44
2026-02-20,APAC,Partner,Services,1,84575.17,62895.95,14
2026-02-21,US,Direct,Services,1,245881.72,185072.94,37
2026-02-22,EU,Partner,Core,0,140202.87,78546.49,33
2026-02-23,US,Direct,Premium,1,139653.56,93576.55,76
2026-02-24,APAC,Partner,Premium,1,305028.35,165396.81,61
2026-02-25,US,Direct,Core,0,130524.26,78399.93,21
2026-02-26,US,Partner,Services,0,66360.68,36506.41,34
2026-02-27,US,Partner,Core,0,62199.62,48572.23,15
2026-02-28,EU,Partner,Core,0,291399.24,195061.04,51
2026-03-01,EU,Direct,Core,1,391410.43,279450.02,76
2026-03-02,LATAM,Partner,Premium,1,257550.4,135067.71,78
2026-03-03,EU,Direct,Premium,0,366061.16,245509.09,50
2026-03-04,APAC,Direct,Premium,1,129922.46,77928.52,22
2026-03-05,EU,Direct,Core,0,169540.05,109897.29,32
2026-03-06,US,Direct,Premium,1,174323.58,133878.96,58
2026-03-07,LATAM,Direct,Core,1,36799.07,22249.51,10
2026-03-08,US,Direct,Premium,0,176783.29,98081.52,45
2026-03-09,EU,Marketplace,Core,1,62377.81,41447.67,13
2026-03-10,US,Direct,Premium,0,390286.21,212693.07,65
2026-03-11,LATAM,Direct,Premium,1,80976.29,48700.01,18
2026-03-12,APAC,Marketplace,Core,1,128242.56,86129.09,18
2026-03-13,US,Partner,AddOn,1,581753.73,312663.61,78
2026-03-14,APAC,Partner,AddOn,1,471582.32,308455.6,77
2026-03-15,APAC,Direct,Core,0,165335.45,91580.69,65
2026-03-16,APAC,Partner,Premium,1,74102.2,52985.07,12
2026-03-17,US,Direct,Core,0,399626.21,309037.93,60
2026-03-18,EU,Direct,Premium,1,164910.98,87174.41,29
2026-03-19,US,Partner,Premium,0,461662.69,272964.75,63
2026-03-20,EU,Direct,Core,1,315609.76,189964.51,43
2026-03-21,US,Direct,AddOn,1,96406.13,67683.87,39
2026-03-22,LATAM,Partner,Core,1,143327.87,89755.18,48
2026-02-01,US,Marketplace,Premium,0,138940.62,89679.92,29
2026-02-02,APAC,Direct,Premium,1,250618.98,177062.34,51
2026-02-03,US,Direct,Premium,0,187292.0,103344.57,69
2026-02-04,EU,Marketplace,Services,1,387906.53,275448.78,52
2026-02-05,US,Marketplace,Services,1,139922.18,81995.6,59
2026-02-06,US,Marketplace,Premium,0,32880.95,21277.11,17
2026-02-07,US,Marketplace,Premium,1,179683.19,141585.58,33
2026-02-08,US,Marketplace,Premium,0,163135.88,91146.12,31
2026-02-09,EU,Partner,Core,1,282301.99,181450.23,66
2026-02-10,EU,Partner,Core,1,429857.84,279687.71,69
2026-02-11,LATAM,Marketplace,Premium,0,105977.6,67583.17,72
2026-02-12,LATAM,Partner,Services,0,179599.1,119955.35,25
2026-02-13,LATAM,Marketplace,AddOn,0,131305.01,74972.19,26
2026-02-14,LATAM,Partner,Core,0,124791.84,90734.83,17
2026-02-15,US,Direct,Premium,0,461380.16,262827.01,76
2026-02-16,US,Direct,Premium,1,154341.61,80982.37,53
2026-02-17,EU,Direct,AddOn,1,234958.57,147549.84,37
2026-02-18,APAC,Partner,Services,0,243077.82,146194.76,70
2026-02-19,EU,Partner,Core,0,401706.11,244893.14,78
2026-02-20,LATAM,Direct,Premium,1,323645.81,249242.7,57
2026-02-21,US,Direct,Premium,0,323365.14,248275.96,44
2026-02-22,APAC,Marketplace,Core,0,215476.67,160637.47,39
2026-02-23,LATAM,Direct,Premium,0,112425.75,61844.6,20
2026-02-24,US,Direct,Core,0,125593.89,92538.86,26
2026-02-25,US,Partner,Core,0,127080.87,83156.65,34
2026-02-26,APAC,Direct,Services,1,65635.83,36881.81,12
2026-02-27,US,Direct,Core,0,274204.11,160891.07,55
2026-02-28,LATAM,Direct,Core,1,128094.95,72695.37,20
2026-03-01,EU,Partner,Premium,1,204593.11,152687.15,27
2026-03-02,APAC,Direct,AddOn,1,213580.12,166608.85,68
2026-03-03,APAC,Direct,Core,1,124032.84,71819.39,76
2026-03-04,US,Direct,Services,0,34767.25,27364.58,14
