date,MKT,SMB,HML
2025-01-02,0.000895,0.000969,0.000214
2025-01-03,0.001271,0.000878,0.000423
2025-01-04,0.001611,0.000732,0.000623
2025-01-05,0.001902,0.000540,0.000811
2025-01-06,0.002132,0.000315,0.000983
2025-01-07,0.002292,0.000071,0.001134
2025-01-08,0.002373,-0.000178,0.001262
2025-01-09,0.002373,-0.000416,0.001365
2025-01-10,0.002289,-0.000628,0.001439
2025-01-11,0.002126,-0.000801,0.001485
2025-01-12,0.001887,-0.000924,0.001500
2025-01-13,0.001582,-0.000990,0.001485
2025-01-14,0.001221,-0.000994,0.001439
2025-01-15,0.000817,-0.000936,0.001364
2025-01-16,0.000385,-0.000821,0.001261
2025-01-17,-0.000059,-0.000654,0.001133
2025-01-18,-0.000498,-0.000446,0.000981
2025-01-19,-0.000918,-0.000211,0.000810
2025-01-20,-0.001302,0.000038,0.000622
2025-01-21,-0.001636,0.000284,0.000421
2025-01-22,-0.001909,0.000512,0.000212
2025-01-23,-0.002111,0.000709,-0.000002
2025-01-24,-0.002236,0.000861,-0.000215
2025-01-25,-0.002279,0.000960,-0.000425
2025-01-26,-0.002241,0.000999,-0.000625
2025-01-27,-0.002123,0.000977,-0.000813
2025-01-28,-0.001932,0.000893,-0.000984
2025-01-29,-0.001676,0.000754,-0.001135
2025-01-30,-0.001367,0.000568,-0.001263
2025-01-31,-0.001017,0.000347,-0.001366
2025-02-01,-0.000640,0.000104,-0.001440
2025-02-02,-0.000253,-0.000146,-0.001485
2025-02-03,0.000128,-0.000386,-0.001500
2025-02-04,0.000489,-0.000602,-0.001484
2025-02-05,0.000814,-0.000781,-0.001438
2025-02-06,0.001092,-0.000911,-0.001363
2025-02-07,0.001310,-0.000985,-0.001260
2025-02-08,0.001460,-0.000997,-0.001131
2025-02-09,0.001537,-0.000948,-0.000980
2025-02-10,0.001539,-0.000839,-0.000808
2025-02-11,0.001465,-0.000678,-0.000620
2025-02-12,0.001319,-0.000476,-0.000419
2025-02-13,0.001109,-0.000243,-0.000210
2025-02-14,0.000843,0.000004,0.000004
2025-02-15,0.000533,0.000252,0.000217
2025-02-16,0.000193,0.000483,0.000426
2025-02-17,-0.000163,0.000685,0.000627
2025-02-18,-0.000520,0.000844,0.000814
2025-02-19,-0.000860,0.000950,0.000985
2025-02-20,-0.001171,0.000998,0.001136
2025-02-21,-0.001438,0.000983,0.001264
2025-02-22,-0.001648,0.000907,0.001366
2025-02-23,-0.001793,0.000775,0.001441
2025-02-24,-0.001864,0.000595,0.001485
2025-02-25,-0.001858,0.000378,0.001500
2025-02-26,-0.001774,0.000137,0.001484
2025-02-27,-0.001612,-0.000113,0.001438
2025-02-28,-0.001380,-0.000355,0.001362
2025-03-01,-0.001084,-0.000575,0.001259
2025-03-02,-0.000735,-0.000760,0.001130
2025-03-03,-0.000346,-0.000897,0.000978
2025-03-04,0.000068,-0.000978,0.000806
2025-03-05,0.000492,-0.000999,0.000618
2025-03-06,0.000910,-0.000958,0.000417
2025-03-07,0.001306,-0.000857,0.000208
2025-03-08,0.001664,-0.000702,-0.000006
2025-03-09,0.001972,-0.000504,-0.000219
2025-03-10,0.002216,-0.000275,-0.000428
2025-03-11,0.002387,-0.000029,-0.000629
2025-03-12,0.002480,0.000219,-0.000816
2025-03-13,0.002489,0.000454,-0.000987
2025-03-14,0.002414,0.000660,-0.001138
2025-03-15,0.002259,0.000826,-0.001265
2025-03-16,0.002028,0.000940,-0.001367
2025-03-17,0.001731,0.000995,-0.001441
2025-03-18,0.001378,0.000989,-0.001486
2025-03-19,0.000983,0.000921,-0.001500
2025-03-20,0.000561,0.000796,-0.001484
2025-03-21,0.000128,0.000621,-0.001437
2025-03-22,-0.000301,0.000408,-0.001362
2025-03-23,-0.000709,0.000170,-0.001258
2025-03-24,-0.001082,-0.000080,-0.001129
2025-03-25,-0.001405,-0.000324,-0.000977
2025-03-26,-0.001667,-0.000548,-0.000805
2025-03-27,-0.001860,-0.000738,-0.000616
2025-03-28,-0.001976,-0.000882,-0.000415
2025-03-29,-0.002013,-0.000971,-0.000206
2025-03-30,-0.001970,-0.001000,0.000008
2025-03-31,-0.001852,-0.000967,0.000221
